,data
0,"Nov. 23, 2018 86799.60"
1,"Nov. 22, 2018 87040.77"
2,"Nov. 21, 2018 87647.73"
3,"Nov. 20, 2018 87426.14"
4,"Nov. 19, 2018 87463.48"
5,"Nov. 16, 2018 87823.30"
6,"Nov. 15, 2018 87228.95"
7,"Nov. 14, 2018 86999.48"
8,"Nov. 13, 2018 87344.56"
9,"Nov. 12, 2018 87918.51"
10,"Nov. 2, 2018 89322.61"
11,"Nov. 1, 2018 90535.67"
12,"Oct. 31, 2018 89839.46"
13,"Oct. 30, 2018 90302.77"
14,"Oct. 29, 2018 90445.31"
15,"Oct. 26, 2018 90524.47"
16,"Oct. 25, 2018 90140.69"
17,"Oct. 24, 2018 90088.54"
18,"Oct. 23, 2018 90911.84"
19,"Oct. 22, 2018 89796.25"
20,"Oct. 19, 2018 90134.91"
21,"Oct. 18, 2018 90043.38"
22,"Oct. 17, 2018 90488.79"
23,"Oct. 16, 2018 90573.35"
24,"Oct. 15, 2018 90810.27"
25,"Oct. 12, 2018 89813.23"
26,"Oct. 11, 2018 89331.23"
27,"Oct. 10, 2018 88164.38"
28,"Oct. 9, 2018 88161.92"
29,"Oct. 8, 2018 87898.08"
30,"Oct. 5, 2018 88902.11"
31,"Oct. 4, 2018 88682.21"
32,"Oct. 3, 2018 87972.87"
33,"Oct. 2, 2018 87780.45"
34,"Oct. 1, 2018 86661.97"
35,"Sept. 28, 2018 86063.74"
36,"Sept. 27, 2018 86042.24"
37,"Sept. 26, 2018 86648.80"
38,"Sept. 25, 2018 87318.02"
39,"Sept. 24, 2018 87301.60"
40,"Sept. 21, 2018 86408.28"
41,"Sept. 20, 2018 87635.57"
42,"Sept. 19, 2018 87269.31"
43,"Sept. 18, 2018 87290.54"
44,"Sept. 17, 2018 87059.62"
45,"Sept. 14, 2018 86348.08"
46,"Sept. 13, 2018 87321.83"
47,"Sept. 12, 2018 86296.89"
48,"Sept. 11, 2018 86493.15"
49,"Sept. 10, 2018 86645.78"
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,"Sept. 7, 2018 85931.14"
76,"Sept. 6, 2018 86660.81"
77,"Sept. 5, 2018 85770.46"
78,"Sept. 4, 2018 85113.00"
79,"Sept. 3, 2018 85284.53"
80,"Aug. 31, 2018 85285.25"
81,"Aug. 30, 2018 84752.35"
82,"Aug. 29, 2018 84992.42"
83,"Aug. 28, 2018 85043.88"
84,"Aug. 27, 2018 84024.64"
85,"Aug. 24, 2018 83791.08"
86,"Aug. 23, 2018 83607.57"
87,"Aug. 22, 2018 83574.02"
88,"Aug. 21, 2018 83175.94"
89,"Aug. 20, 2018 82685.37"
90,"Aug. 17, 2018 82837.09"
91,"Aug. 16, 2018 82977.69"
92,"Aug. 15, 2018 82592.25"
93,"Aug. 14, 2018 83640.38"
94,"Aug. 13, 2018 83838.42"
95,"Aug. 10, 2018 83632.68"
96,"Aug. 9, 2018 83379.56"
97,"Aug. 8, 2018 83032.56"
98,"Aug. 7, 2018 83245.99"
99,"Aug. 6, 2018 83266.24"
100,"Aug. 3, 2018 83649.49"
101,"Aug. 2, 2018 83452.78"
102,"Aug. 1, 2018 83448.15"
103,"July 31, 2018 83740.37"
104,"July 30, 2018 84027.67"
105,"July 27, 2018 84102.18"
106,"July 26, 2018 84359.27"
107,"July 25, 2018 84653.30"
108,"July 24, 2018 84587.23"
109,"July 23, 2018 84310.24"
110,"July 20, 2018 84679.30"
111,"July 19, 2018 84010.94"
112,"July 18, 2018 84042.02"
113,"July 17, 2018 84372.80"
114,"July 16, 2018 85187.54"
115,"July 13, 2018 85019.18"
116,"July 12, 2018 85393.97"
117,"July 11, 2018 86115.07"
118,"July 10, 2018 86306.55"
119,"July 9, 2018 86762.77"
120,"July 6, 2018 86494.23"
121,"July 5, 2018 86571.49"
122,"July 4, 2018 86319.65"
123,"July 3, 2018 85876.30"
124,"July 2, 2018 85772.19"
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,"June 29, 2018 85674.58"
140,"June 28, 2018 86017.45"
141,"June 27, 2018 86076.53"
142,"June 26, 2018 85924.08"
143,"June 25, 2018 86465.07"
144,"June 22, 2018 86102.30"
145,"June 21, 2018 86199.47"
146,"June 20, 2018 86753.89"
147,"June 19, 2018 87145.07"
148,"June 18, 2018 87196.64"
149,"June 15, 2018 87390.57"
150,"June 14, 2018 88160.33"
151,"June 13, 2018 87666.71"
152,"June 12, 2018 87639.37"
153,"June 11, 2018 87622.25"
154,"June 8, 2018 87865.55"
155,"June 7, 2018 87048.71"
156,"June 6, 2018 87067.67"
157,"June 5, 2018 86796.66"
158,"June 4, 2018 86986.21"
159,"June 1, 2018 86851.46"
160,"May 31, 2018 88088.27"
161,"May 30, 2018 87774.48"
162,"May 29, 2018 87962.82"
163,"May 28, 2018 87824.92"
164,"May 25, 2018 88369.15"
165,"May 24, 2018 89153.86"
166,"May 23, 2018 88167.59"
167,"May 22, 2018 88011.42"
168,"May 21, 2018 87765.61"
169,"May 18, 2018 87644.65"
170,"May 17, 2018 87292.69"
171,"May 16, 2018 87580.64"
172,"May 15, 2018 88050.28"
173,"May 14, 2018 89206.59"
174,"May 11, 2018 89118.81"
175,"May 10, 2018 88742.03"
176,"May 9, 2018 88404.02"
177,"May 8, 2018 87654.87"
178,"May 7, 2018 87954.03"
179,"May 4, 2018 87590.65"
180,"May 3, 2018 87595.45"
181,"May 2, 2018 86947.74"
182,"May 1, 2018 87235.83"
183,"April 30, 2018 87642.95"
184,"April 27, 2018 88196.90"
185,"April 26, 2018 88169.92"
186,"April 25, 2018 88375.42"
187,"April 24, 2018 88174.16"
188,"April 23, 2018 88007.98"
189,
190,
191,
192,
193,
194,
195,
196,
197,
198,
199,
200,
201,
202,
203,
204,
205,
206,
207,
208,
209,
210,
211,
212,
213,
214,
215,
216,
217,
218,
219,
220,
221,
222,
223,"April 20, 2018 88273.94"
224,"April 19, 2018 88667.07"
225,"April 18, 2018 88683.83"
226,"April 17, 2018 88128.98"
227,"April 16, 2018 88335.18"
228,"April 13, 2018 87632.75"
229,"April 12, 2018 87586.77"
230,"April 11, 2018 88091.86"
231,"April 10, 2018 87040.10"
232,"April 9, 2018 86585.06"
233,"April 6, 2018 86506.63"
234,"April 5, 2018 86303.80"
235,"April 4, 2018 87145.13"
236,"April 3, 2018 86712.91"
237,"April 2, 2018 86343.73"
238,"March 30, 2018 86343.73"
239,"March 29, 2018 86343.73"
240,"March 28, 2018 86904.64"
241,"March 27, 2018 87134.13"
242,"March 26, 2018 87739.50"
243,"March 23, 2018 87562.65"
244,"March 22, 2018 86560.89"
245,"March 21, 2018 86165.21"
246,"March 20, 2018 85478.50"
247,"March 19, 2018 85449.04"
248,"March 16, 2018 85130.28"
249,"March 15, 2018 85606.65"
250,"March 14, 2018 85825.57"
251,"March 13, 2018 85816.70"
252,"March 12, 2018 85781.34"
253,"March 9, 2018 86050.27"
254,"March 8, 2018 85980.58"
255,"March 7, 2018 86258.11"
256,"March 6, 2018 86647.49"
257,"March 5, 2018 85982.78"
258,"March 2, 2018 86246.99"
259,"March 1, 2018 85297.98"
260,"Feb. 28, 2018 85852.96"
261,"Feb. 27, 2018 86006.37"
262,"Feb. 26, 2018 86284.10"
263,"Feb. 23, 2018 85931.63"
264,"Feb. 22, 2018 86356.02"
265,"Feb. 21, 2018 86144.88"
266,"Feb. 20, 2018 86812.22"
267,"Feb. 19, 2018 86424.77"
268,"Feb. 16, 2018 86777.76"
269,"Feb. 15, 2018 86467.19"
270,"Feb. 14, 2018 85615.20"
271,"Feb. 13, 2018 85251.47"
272,"Feb. 12, 2018 85055.28"
273,
274,
275,
276,
277,
278,
279,
280,
281,
282,
283,
284,
285,
286,
287,
288,
289,
290,
291,
292,
293,
294,
295,"Feb. 9, 2018 84659.22"
296,"Feb. 8, 2018 84537.39"
297,"Feb. 7, 2018 85151.79"
298,"Feb. 6, 2018 85474.20"
299,"Feb. 5, 2018 85420.39"
300,"Feb. 2, 2018 85285.10"
301,"Feb. 1, 2018 85641.82"
302,"Jan. 31, 2018 85550.20"
303,"Jan. 30, 2018 85586.06"
304,"Jan. 29, 2018 85386.53"
305,"Jan. 26, 2018 86036.64"
306,"Jan. 25, 2018 86151.09"
307,"Jan. 24, 2018 86195.13"
308,"Jan. 23, 2018 85064.24"
309,"Jan. 22, 2018 85084.82"
310,"Jan. 19, 2018 85149.77"
311,"Jan. 18, 2018 85045.97"
312,"Jan. 17, 2018 85296.25"
313,"Jan. 16, 2018 85426.41"
314,"Jan. 15, 2018 84983.77"
315,"Jan. 12, 2018 84417.64"
316,"Jan. 11, 2018 84228.65"
317,"Jan. 10, 2018 83944.34"
318,"Jan. 9, 2018 83495.93"
319,"Jan. 8, 2018 83674.91"
320,"Jan. 5, 2018 83462.84"
321,"Jan. 4, 2018 83334.36"
322,"Jan. 3, 2018 83548.73"
323,"Jan. 2, 2018 83245.29"
324,"Jan. 1, 2018 82401.30"
325,"Dec. 29, 2017 82401.30"
326,"Dec. 28, 2017 82761.16"
327,"Dec. 27, 2017 82087.88"
328,"Dec. 26, 2017 81070.27"
329,"Dec. 25, 2017 81022.86"
330,"Dec. 22, 2017 81022.86"
331,"Dec. 21, 2017 81027.61"
332,"Dec. 20, 2017 81041.83"
333,"Dec. 19, 2017 80755.34"
334,"Dec. 18, 2017 80924.20"
335,"Dec. 15, 2017 80429.26"
336,"Dec. 14, 2017 80492.47"
337,"Dec. 13, 2017 80088.78"
338,"Dec. 12, 2017 79926.35"
339,"Dec. 11, 2017 80269.67"
340,"Dec. 8, 2017 80624.71"
341,"Dec. 7, 2017 81046.31"
342,"Dec. 6, 2017 81539.48"
343,"Dec. 5, 2017 81541.78"
344,"Dec. 4, 2017 82005.39"
345,
346,
347,
348,
349,
350,
351,
352,
353,
354,
355,
356,
357,
358,
359,
360,
361,
362,
363,
364,
365,
366,"Dec. 1, 2017 82244.23"
367,"Nov. 30, 2017 82547.29"
368,"Nov. 29, 2017 82633.38"
369,"Nov. 28, 2017 83230.64"
370,"Nov. 27, 2017 83598.73"
371,"Nov. 24, 2017 83484.04"
372,"Nov. 23, 2017 83419.50"
373,"Nov. 22, 2017 83572.90"
374,"Nov. 21, 2017 83303.79"
375,"Nov. 20, 2017 83725.17"
376,"Nov. 17, 2017 83563.01"
377,"Nov. 16, 2017 83543.98"
378,"Nov. 15, 2017 83647.50"
379,"Nov. 14, 2017 83365.20"
380,"Nov. 13, 2017 83603.48"
381,"Nov. 10, 2017 83659.29"
382,"Nov. 9, 2017 83467.01"
383,"Nov. 8, 2017 83418.27"
384,"Nov. 7, 2017 82931.53"
385,"Nov. 6, 2017 82228.81"
386,"Nov. 3, 2017 81843.68"
387,"Nov. 2, 2017 82711.45"
388,"Nov. 1, 2017 82486.49"
389,"Oct. 31, 2017 82269.18"
390,"Oct. 30, 2017 82486.01"
391,"Oct. 27, 2017 82355.65"
392,"Oct. 26, 2017 82570.51"
393,"Oct. 25, 2017 82816.01"
394,"Oct. 24, 2017 83059.43"
395,"Oct. 23, 2017 82873.26"
396,"Oct. 20, 2017 83423.72"
397,"Oct. 19, 2017 83762.31"
398,"Oct. 18, 2017 83358.61"
399,"Oct. 17, 2017 83425.24"
400,"Oct. 16, 2017 84385.40"
401,"Oct. 13, 2017 84360.58"
402,"Oct. 12, 2017 83982.62"
403,"Oct. 11, 2017 84004.29"
404,"Oct. 10, 2017 84270.29"
405,"Oct. 9, 2017 83599.86"
406,"Oct. 6, 2017 82442.20"
407,"Oct. 5, 2017 82941.27"
408,"Oct. 4, 2017 82807.12"
409,"Oct. 3, 2017 83244.63"
410,"Oct. 2, 2017 83198.07"
411,"Sept. 29, 2017 83812.07"
412,"Sept. 28, 2017 84094.70"
413,"Sept. 27, 2017 84258.70"
414,"Sept. 26, 2017 85003.75"
415,"Sept. 25, 2017 84232.60"
416,
417,
418,
419,
420,
421,
422,
423,
424,
425,
426,
427,
428,
429,
430,
431,
432,
433,
434,
435,
436,
437,
438,"Sept. 22, 2017 83890.07"
439,"Sept. 21, 2017 83728.05"
440,"Sept. 20, 2017 84283.79"
441,"Sept. 19, 2017 84215.45"
442,"Sept. 18, 2017 84135.12"
443,"Sept. 15, 2017 84819.47"
444,"Sept. 14, 2017 84887.08"
445,"Sept. 13, 2017 84961.53"
446,"Sept. 12, 2017 84942.09"
447,"Sept. 11, 2017 85275.38"
448,"Sept. 8, 2017 85937.86"
449,"Sept. 7, 2017 86041.09"
450,"Sept. 6, 2017 85782.93"
451,"Sept. 5, 2017 85633.78"
452,"Sept. 4, 2017 85400.04"
453,"Sept. 1, 2017 84535.09"
454,"Aug. 31, 2017 83855.24"
455,"Aug. 30, 2017 83698.20"
456,"Aug. 29, 2017 84419.95"
457,"Aug. 28, 2017 82133.87"
458,"Aug. 25, 2017 82307.37"
459,"Aug. 24, 2017 82544.33"
460,"Aug. 23, 2017 82499.99"
461,"Aug. 22, 2017 82357.34"
462,"Aug. 21, 2017 82897.50"
463,"Aug. 18, 2017 83089.92"
464,"Aug. 17, 2017 82453.59"
465,"Aug. 16, 2017 81658.03"
466,"Aug. 15, 2017 81448.44"
467,"Aug. 14, 2017 82217.85"
468,"Aug. 11, 2017 82479.18"
469,"Aug. 10, 2017 82272.23"
470,"Aug. 9, 2017 81143.81"
471,"Aug. 8, 2017 80300.94"
472,"Aug. 7, 2017 80287.12"
473,"Aug. 4, 2017 80027.43"
474,"Aug. 3, 2017 80744.66"
475,"Aug. 2, 2017 80777.65"
476,"Aug. 1, 2017 81431.34"
477,"July 31, 2017 81314.90"
478,"July 28, 2017 81167.04"
479,"July 27, 2017 80842.80"
480,"July 26, 2017 80330.81"
481,"July 25, 2017 80762.96"
482,"July 24, 2017 80769.50"
483,"July 21, 2017 80317.63"
484,"July 20, 2017 79816.23"
485,"July 19, 2017 79901.29"
486,"July 18, 2017 79823.64"
487,"July 17, 2017 79439.00"
488,
489,
490,
491,
492,
493,
494,
495,
496,
497,
498,
499,
500,
501,
502,
503,
504,
505,
506,
507,
508,"July 14, 2017 79306.65"
509,"July 13, 2017 78542.86"
510,"July 12, 2017 78682.66"
511,"July 11, 2017 78203.54"
512,"July 10, 2017 78208.43"
513,"July 7, 2017 78532.49"
514,"July 6, 2017 79329.11"
515,"July 5, 2017 79063.22"
516,"July 4, 2017 79190.38"
517,"July 3, 2017 79727.62"
518,"June 30, 2017 80295.93"
519,"June 29, 2017 80315.48"
520,"June 28, 2017 80591.16"
521,"June 27, 2017 80591.27"
522,"June 26, 2017 80331.07"
523,"June 23, 2017 81005.20"
524,"June 22, 2017 80743.81"
525,"June 21, 2017 80152.36"
526,"June 20, 2017 80079.97"
527,"June 19, 2017 80387.09"
528,"June 16, 2017 80875.98"
529,"June 15, 2017 80840.05"
530,"June 14, 2017 81992.00"
