,data2
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,"April 11, 1997 12475.74"
46,"April 10, 1997 12452.76"
47,"April 9, 1997 12463.40"
48,"April 8, 1997 12516.97"
49,"April 7, 1997 12513.39"
50,"April 4, 1997 12456.02"
51,"April 3, 1997 12500.94"
52,"April 2, 1997 12590.39"
53,"April 1, 1997 12556.25"
54,"March 31, 1997 12489.88"
55,"March 28, 1997 12493.35"
56,"March 27, 1997 12489.88"
57,"March 26, 1997 12404.15"
58,"March 25, 1997 12541.89"
59,"March 24, 1997 12560.79"
60,"March 21, 1997 12656.69"
61,"March 20, 1997 12631.51"
62,"March 19, 1997 12523.96"
63,"March 18, 1997 12420.03"
64,"March 17, 1997 12606.47"
65,"March 14, 1997 12651.40"
66,"March 13, 1997 12647.93"
67,"March 12, 1997 12593.11"
68,"March 11, 1997 12615.64"
69,"March 10, 1997 12558.21"
70,"March 7, 1997 12558.94"
71,"March 6, 1997 12660.39"
72,"March 5, 1997 12710.60"
73,"March 4, 1997 12891.67"
74,"March 3, 1997 12977.63"
75,"Feb. 28, 1997 12866.56"
76,"Feb. 27, 1997 12911.39"
77,"Feb. 26, 1997 12716.01"
78,"Feb. 25, 1997 12666.39"
79,"Feb. 24, 1997 12665.66"
80,"Feb. 21, 1997 12674.63"
81,"Feb. 20, 1997 12369.97"
82,"Feb. 19, 1997 12421.72"
83,"Feb. 18, 1997 12382.05"
84,"Feb. 17, 1997 12352.15"
85,"Feb. 14, 1997 12297.97"
86,"Feb. 13, 1997 12313.81"
87,"Feb. 12, 1997 12111.60"
88,"Feb. 11, 1997 12172.57"
89,"Feb. 10, 1997 12208.43"
90,"Feb. 7, 1997 12181.73"
91,"Feb. 6, 1997 12296.23"
92,"Feb. 5, 1997 12319.47"
93,"Feb. 4, 1997 12391.61"
94,"Feb. 3, 1997 12350.03"
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,"Jan. 31, 1997 12394.81"
109,"Jan. 30, 1997 12531.09"
110,"Jan. 29, 1997 12590.44"
111,"Jan. 28, 1997 12684.56"
112,"Jan. 27, 1997 12674.78"
113,"Jan. 24, 1997 12635.36"
114,"Jan. 23, 1997 12468.84"
115,"Jan. 22, 1997 12592.62"
116,"Jan. 21, 1997 12718.12"
117,"Jan. 20, 1997 12658.62"
118,"Jan. 17, 1997 12752.56"
119,"Jan. 16, 1997 12659.48"
120,"Jan. 15, 1997 12706.50"
121,"Jan. 14, 1997 12812.25"
122,"Jan. 13, 1997 12895.25"
123,"Jan. 10, 1997 12843.25"
124,"Jan. 9, 1997 12788.90"
